49 49
0 386 1494 2013 1155 990 689 764 176 145 754 1793 546 513 701 411 314 1083 714 1216 722 944 543 229 1676 498 1257 820 1098 840 1148 1922 986 559 678 2142 756 1046 333 1123 265 691 1531 613 1106 2168 760 490 1188
386 0 1129 1629 771 1170 895 977 554 458 479 1412 380 488 351 480 304 1263 923 1370 693 708 266 207 1311 776 943 483 1257 1035 770 1537 1138 630 296 1760 929 1233 655 790 329 438 1145 852 1239 1792 599 646 809
1494 1129 0 629 586 2208 1976 2057 1637 1586 1150 730 1311 1494 986 1551 1244 2294 2004 2365 1615 1280 1161 1268 902 1896 1091 983 2269 2097 378 576 2154 1662 839 979 1985 2273 1784 977 1441 868 500 1954 2225 1091 1389 1727 660
2013 1629 629 0 892 2551 2372 2446 2174 2079 1481 442 1698 1882 1384 1969 1807 2626 2397 2664 1941 1518 1575 1802 733 2343 1190 1322 2588 2467 876 101 2483 2044 1335 447 2357 2614 2263 1162 1900 1462 529 2372 2526 590 1695 2138 901
1155 771 586 892 0 1680 1484 1560 1325 1202 603 642 808 993 493 1078 1007 1761 1510 1816 1072 698 684 966 593 1452 528 437 1729 1586 289 794 1618 1158 500 990 1475 1745 1378 394 1014 767 378 1481 1676 1031 833 1247 95
990 1170 2208 2551 1680 0 302 234 1013 845 1078 2190 897 717 1221 690 1288 94 279 232 610 1046 1051 1163 1957 521 1424 1244 116 152 1830 2450 84 552 1404 2498 242 65 696 1400 849 1600 2021 388 173 2462 855 528 1654
689 895 1976 2372 1484 302 0 82 714 544 893 2043 677 491 1002 427 990 394 28 531 474 924 817 868 1837 231 1314 1049 412 151 1599 2272 310 327 1150 2369 95 357 399 1256 567 1316 1845 98 436 2351 706 252 1472
764 977 2057 2446 1560 234 82 0 779 619 966 2111 754 568 1080 508 1068 322 54 465 531 984 897 948 1900 288 1374 1124 349 84 1680 2345 258 402 1232 2435 106 283 462 1322 649 1398 1918 155 384 2413 770 334 1545
176 554 1637 2174 1325 1013 714 779 0 229 927 1966 712 652 877 535 408 1101 735 1244 847 1110 719 373 1852 493 1432 997 1126 861 1303 2085 1023 663 841 2314 796 1061 317 1299 420 803 1699 625 1148 2343 916 566 1361
145 458 1586 2079 1202 845 544 619 229 0 737 1831 506 426 724 307 454 938 569 1072 618 900 546 350 1692 357 1242 831 953 695 1227 1985 842 437 753 2178 612 901 204 1121 214 816 1581 469 963 2194 697 353 1224
754 479 1150 1481 603 1078 893 966 927 737 0 1155 242 411 207 519 781 1159 918 1218 471 234 221 667 974 898 506 168 1128 987 780 1380 1016 566 472 1489 877 1142 867 390 524 812 952 903 1078 1486 240 672 580
1793 1412 730 442 642 2190 2043 2111 1966 1831 1155 0 1390 1566 1108 1670 1646 2259 2067 2281 1588 1144 1294 1608 291 2049 783 1016 2214 2122 773 358 2117 1719 1141 348 2016 2250 1996 791 1633 1367 294 2057 2147 401 1343 1827 607
546 380 1311 1698 808 897 677 754 712 506 242 1390 0 186 327 279 650 984 704 1066 333 398 160 516 1216 659 739 378 964 787 934 1599 846 353 523 1728 675 962 625 632 294 799 1174 674 927 1728 228 441 801
513 488 1494 1882 993 717 491 568 652 426 411 1566 186 0 512 129 703 807 518 897 219 504 334 563 1379 491 879 560 790 603 1116 1782 671 168 689 1899 491 782 491 792 251 925 1356 493 762 1893 283 261 983
701 351 986 1384 493 1221 1002 1080 877 724 207 1108 327 512 0 587 647 1308 1028 1382 634 429 191 557 976 959 595 134 1284 1114 609 1286 1168 680 266 1454 1002 1287 890 439 526 615 868 992 1242 1472 431 759 502
411 480 1551 1969 1078 690 427 508 535 307 519 1670 279 129 587 0 643 783 455 891 313 631 398 505 1493 379 1002 655 778 558 1175 1871 658 160 724 2007 451 754 363 907 175 914 1449 406 763 2006 413 176 1077
314 304 1244 1807 1007 1288 990 1068 408 454 781 1646 650 703 647 643 0 1382 1016 1508 922 1008 565 140 1578 810 1242 781 1391 1140 930 1723 1275 803 507 1992 1049 1346 647 1085 468 395 1364 921 1390 2038 878 768 1062
1083 1263 2294 2626 1761 94 394 322 1101 938 1159 2259 984 807 1308 783 1382 0 370 152 689 1115 1140 1257 2020 608 1487 1326 68 243 1917 2525 143 643 1495 2562 336 41 784 1471 943 1694 2098 476 155 2522 932 622 1732
714 923 2004 2397 1510 279 28 54 735 569 918 2067 704 518 1028 455 1016 370 0 509 493 945 844 895 1859 248 1335 1075 391 127 1627 2297 292 353 1178 2392 92 332 419 1280 595 1344 1870 113 418 2373 728 280 1497
1216 1370 2365 2664 1816 232 531 465 1244 1072 1218 2281 1066 897 1382 891 1508 152 509 0 750 1146 1225 1379 2031 753 1501 1387 119 383 1990 2563 234 741 1585 2572 460 193 927 1503 1058 1806 2138 619 141 2523 983 742 1779
722 693 1615 1941 1072 610 474 531 847 618 471 1588 333 219 634 313 922 689 493 750 0 453 492 781 1369 571 842 638 657 535 1240 1840 546 205 855 1906 431 674 631 797 467 1125 1411 517 610 1882 246 338 1043
944 708 1280 1518 698 1046 924 984 1110 900 234 1144 398 504 429 631 1008 1115 945 1146 453 0 443 886 917 985 390 338 1073 986 930 1417 973 618 695 1455 884 1107 994 357 691 1043 993 958 1008 1429 225 746 645
543 266 1161 1575 684 1051 817 897 719 546 221 1294 160 334 191 398 565 1140 844 1225 492 443 0 446 1147 768 716 285 1121 936 783 1477 1003 502 364 1638 824 1116 702 581 340 653 1059 803 1087 1650 344 571 691
229 207 1268 1802 966 1163 868 948 373 350 667 1608 516 563 557 505 140 1257 895 1379 781 886 446 0 1516 703 1146 688 1262 1017 930 1714 1145 665 472 1956 922 1222 552 995 330 466 1335 805 1258 1993 745 638 1010
1676 1311 902 733 593 1957 1837 1900 1852 1692 974 291 1216 1379 976 1493 1578 2020 1859 2031 1369 917 1147 1516 0 1869 533 862 1971 1902 817 646 1880 1520 1075 542 1800 2015 1839 587 1484 1360 402 1862 1900 515 1131 1638 521
498 776 1896 2343 1452 521 231 288 493 357 898 2049 659 491 959 379 810 608 248 753 571 985 768 703 1869 0 1368 1034 636 371 1526 2245 539 372 1057 2387 323 569 176 1283 455 1167 1825 135 666 2383 760 239 1454
