49 2
-86.284 32.354
-92.354 34.722
-112.071 33.543
-121.467 38.567
-104.873 39.768
-72.684 41.766
-77.016 38.905
-75.517 39.159
-84.281 30.457
-84.423 33.763
-93.617 41.577
-116.226 43.607
-89.645 39.781
-86.146 39.776
-95.692 39.038
-84.865 38.191
-91.126 30.449
-71.018 42.336
-76.503 38.972
-69.73 44.331
-84.554 42.709
-93.104 44.948
-92.19 38.572
-90.208 32.321
-112.02 46.597
-78.659 35.822
-100.767 46.805
-96.688 40.816
-71.56 43.232
-74.764 40.223
-105.954 35.679
-119.743 39.148
-73.799 42.666
-82.987 39.989
-97.513 35.467
-123.022 44.925
-76.885 40.276
-71.42 41.822
-80.886 34.039
-100.322 44.373
-86.785 36.172
-97.751 30.306
-111.93 40.777
-77.475 37.531
-72.572 44.266
-122.894 47.042
-89.388 43.08
-81.63 38.351
-104.792 41.145
